SeqName	Length	Description	GO IDs
FAGR_UCONN_02943	82	XP_050881561.1uncharacterized protein LOC127085035	GO:0006278;GO:0006310;GO:0006508;GO:0015074;GO:0003723;GO:0003887;GO:0003964;GO:0004190;GO:0004523;GO:0046872;GO:0005634;GO:0016020
FAGR_UCONN_02944	369	KAF3958607.1hypothetical protein CMV_016506	GO:0016567;GO:0016740;GO:0016020
FAGR_UCONN_02945	230	KAF3950506.1hypothetical protein CMV_023752	
FAGR_UCONN_02946	652	XP_030934881.1splicing factor-like protein 1	GO:0006397;GO:0003723;GO:0043167;GO:0110165
FAGR_UCONN_02947	1827	XP_038975729.1uncharacterized protein LOC120106748	GO:0015074;GO:0003676;GO:0008270;GO:0016779;GO:0016787
FAGR_UCONN_02948	165	XP_028094043.1uncharacterized protein LOC114294125	GO:0003676;GO:0008270;GO:0046872
FAGR_UCONN_02949	155	XP_038988320.1uncharacterized protein LOC103698532 isoform X4	GO:0005488
FAGR_UCONN_02950	994	TQE01264.1hypothetical protein C1H46_013171	GO:0006278;GO:0015074;GO:0003676;GO:0003964;GO:0008270;GO:0016740;GO:0016779
FAGR_UCONN_02951	237	XP_030941721.1uncharacterized protein LOC115966680	GO:0006278;GO:0006508;GO:0015074;GO:0003676;GO:0003964;GO:0004190;GO:0043227
FAGR_UCONN_02952	249	XP_030936663.1auxin-induced in root cultures protein 12-like	GO:0016020
FAGR_UCONN_02953	232	POE94054.1upf0481 protein	GO:0016020
FAGR_UCONN_02954	903	"XP_041012965.1uncharacterized protein LOC121256286, partial"	
FAGR_UCONN_02955	204	RVW82856.1hypothetical protein CK203_051154	GO:0005488
FAGR_UCONN_02956	224	KAG5547649.1hypothetical protein RHGRI_013370	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_02957	193	XP_050278923.1SKP1-like protein 20	GO:0006511;GO:0009867;GO:0016567;GO:0097602;GO:0005634
FAGR_UCONN_02958	204	KAG5547649.1hypothetical protein RHGRI_013370	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_02959	233	KAF3959339.1hypothetical protein CMV_015835	
FAGR_UCONN_02960	391	XP_050255740.1F-box protein At5g49610-like	
FAGR_UCONN_02961	211	KAE8000017.1hypothetical protein FH972_004389	GO:0016491;GO:0005783;GO:0016020
FAGR_UCONN_02962	287	XP_020109295.1uncharacterized protein LOC109724777	GO:0016491;GO:0046914;GO:0097159
FAGR_UCONN_02963	452	XP_050266716.1protein ENHANCED PSEUDOMONAS SUSCEPTIBILITY 1-like	
FAGR_UCONN_02964	392	XP_030943465.1F-box protein At5g07610	
FAGR_UCONN_02965	172	XP_023895858.1uncharacterized protein LOC112007730	GO:0006278;GO:0006310;GO:0015074;GO:0003723;GO:0003887;GO:0003964;GO:0004523;GO:0046872;GO:0005634
FAGR_UCONN_02966	167	KAE8057207.1hypothetical protein FH972_013915	
FAGR_UCONN_02967	102	XP_042957451.1aluminum-activated malate transporter 8-like	GO:0015743;GO:0055085;GO:0003676;GO:0009705
FAGR_UCONN_02968	359	RVW71911.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676
FAGR_UCONN_02969	186	XP_030926263.1zeatin O-glucosyltransferase-like	GO:0008194
FAGR_UCONN_02970	822	XP_038975729.1uncharacterized protein LOC120106748	GO:0015074;GO:0003676;GO:0008270;GO:0016779;GO:0016787
FAGR_UCONN_02971	829	RVW71911.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676
FAGR_UCONN_02972	102	"XP_050285649.1uncharacterized protein LOC126725153, partial"	
FAGR_UCONN_02973	584	XP_050239442.1protein PSK SIMULATOR 1	GO:0045927
FAGR_UCONN_02974	400	RVW19280.1Retrovirus-related Pol polyprotein from transposon RE1	GO:0005488
FAGR_UCONN_02975	193	XP_038988052.1uncharacterized protein LOC120112552	GO:0005488
FAGR_UCONN_02976	122	XP_050253381.1zinc finger BED domain-containing protein RICESLEEPER 2-like	GO:0016740;GO:0097159
FAGR_UCONN_02977	367	XP_050242414.1F-box/kelch-repeat protein At3g23880-like	
FAGR_UCONN_02978	94	POF25599.1isoform 3 of uncharacterized protein	GO:0016491;GO:0046872
FAGR_UCONN_02979	182	POE96174.1hypothetical protein CFP56_72654	
FAGR_UCONN_02980	315	KAH7850963.1hypothetical protein Vadar_005266	GO:0006259;GO:0005488
FAGR_UCONN_02981	333	XP_029147050.1uncharacterized protein LOC114924973	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_02982	771	"XP_030960420.1pentatricopeptide repeat-containing protein At5g13270, chloroplastic"	GO:0009451;GO:0003723;GO:0008270
FAGR_UCONN_02983	339	KAF3969847.1hypothetical protein CMV_006389	GO:0016310;GO:0004674;GO:0005524;GO:0030246;GO:0016020
FAGR_UCONN_02984	395	XP_030968973.1uncharacterized protein LOC115989430	GO:0003824
FAGR_UCONN_02985	382	XP_010096870.1cytochrome b561 and DOMON domain-containing protein At5g47530	GO:0046872;GO:0016020
FAGR_UCONN_02986	545	XP_023887027.1pentatricopeptide repeat-containing protein At5g15300	GO:0009451;GO:0003723
FAGR_UCONN_02987	219	GAV67439.1zf-CCHC domain-containing protein/UBN2 domain-containing protein	GO:0003676;GO:0008270;GO:0016020
FAGR_UCONN_02988	84	XP_050279595.1FBD-associated F-box protein At4g10400-like	
FAGR_UCONN_02989	191	XP_023909552.1uncharacterized protein LOC112021218	GO:0005975;GO:0004553;GO:0016787
FAGR_UCONN_02990	246	XP_050264167.1uncharacterized protein LOC126708416	GO:0005488
FAGR_UCONN_02991	309	KAF3962820.1hypothetical protein CMV_012719	
FAGR_UCONN_02992	226	XP_050247108.1receptor-like protein 7 isoform X9	GO:0003676;GO:0005886
FAGR_UCONN_02993	126	KAH7859659.1hypothetical protein Vadar_003868	
FAGR_UCONN_02994	607	"XP_030972679.19-cis-epoxycarotenoid dioxygenase NCED2, chloroplastic"	GO:0016121;GO:0010436;GO:0046872;GO:0009570
FAGR_UCONN_02995	237	XP_023904672.1RING-H2 finger protein ATL57	GO:0016567;GO:0008270;GO:0016740;GO:0016020
FAGR_UCONN_02996	393	XP_023921490.1uncharacterized protein LOC112032953	
FAGR_UCONN_02997	94	XP_050277655.1uncharacterized protein LOC126719110	GO:0003676;GO:0008270
FAGR_UCONN_02998	443	XP_050286645.1uncharacterized protein LOC126725774	
FAGR_UCONN_02999	979	"XP_041012965.1uncharacterized protein LOC121256286, partial"	
FAGR_UCONN_03000	801	"XP_041012965.1uncharacterized protein LOC121256286, partial"	
FAGR_UCONN_03001	133	XP_023913900.1probable (S)-N-methylcoclaurine 3'-hydroxylase isozyme 2	GO:0004497;GO:0005506;GO:0016705;GO:0020037
FAGR_UCONN_03002	160	XP_022961646.1ubiquitin-40S ribosomal protein S27a-like	GO:0006412;GO:0016567;GO:0019941;GO:0003729;GO:0003735;GO:0031386;GO:0031625;GO:0005634;GO:0005840;GO:1990904
FAGR_UCONN_03003	135	KAF3973015.1hypothetical protein CMV_003524	GO:0003676;GO:0008270
FAGR_UCONN_03004	255	CAB4274727.1unnamed protein product	GO:0009772;GO:0016168;GO:0045156;GO:0009523;GO:0009535
FAGR_UCONN_03005	116	"KAF5449422.1hypothetical protein F2P56_029869, partial"	
FAGR_UCONN_03006	210	XP_030932343.1uncharacterized protein LOC115958118	
FAGR_UCONN_03007	528	KAH9780462.1hypothetical protein KPL71_008083	GO:0015074;GO:0003676
FAGR_UCONN_03008	305	XP_023919545.1fasciclin-like arabinogalactan protein 12	GO:0005886
FAGR_UCONN_03009	360	KAI3473629.1hypothetical protein Pfo_031475	GO:0006508;GO:0015074;GO:0003676;GO:0004190;GO:0008270;GO:0016779
FAGR_UCONN_03010	278	"XP_042973097.1uncharacterized protein LOC122304899, partial"	
FAGR_UCONN_03011	132	XP_030928927.1uncharacterized protein LOC115955035	
FAGR_UCONN_03012	496	"PNX73744.1gag-pol polyprotein, partial"	GO:0015074;GO:0003676;GO:0008270;GO:0016020
FAGR_UCONN_03013	109	KAF5449632.1hypothetical protein F2P56_030057	
FAGR_UCONN_03014	190	RVW63757.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_03015	80	XP_028091579.1uncharacterized protein LOC114291892	
FAGR_UCONN_03016	106	XP_023903990.1TMV resistance protein N-like	
FAGR_UCONN_03017	521	XP_024023059.1uncharacterized protein LOC112092092	GO:0005488
FAGR_UCONN_03018	385	KAE8098545.1hypothetical protein FH972_016598	GO:0003729
FAGR_UCONN_03019	547	RVW37290.1Retrovirus-related Pol polyprotein from transposon RE1	GO:0044237
FAGR_UCONN_03020	422	GAV83197.1DUF4219 domain-containing protein/UBN2 domain-containing protein	GO:0003676;GO:0008270;GO:0016020
FAGR_UCONN_03021	330	KAI5318545.1hypothetical protein L3X38_038253	GO:0046872
FAGR_UCONN_03022	164	"EOY21229.1RNA-directed DNA polymerase (Reverse transcriptase), Ribonuclease H, partial"	GO:0006278;GO:0003676;GO:0003964;GO:0004523;GO:0008445;GO:0046872;GO:0016020
FAGR_UCONN_03023	438	KAF3956579.1hypothetical protein CMV_018306	GO:0016567;GO:0061630
FAGR_UCONN_03024	746	"XP_030957105.1pentatricopeptide repeat-containing protein At1g08070, chloroplastic-like"	GO:0009451;GO:0003723;GO:0008270
FAGR_UCONN_03025	539	KAF3961445.1hypothetical protein CMV_013935	GO:0006278;GO:0003824;GO:0003964
FAGR_UCONN_03026	534	XP_030937554.1berberine bridge enzyme-like 21	GO:0016491;GO:0071949
FAGR_UCONN_03027	204	XP_023901742.1uncharacterized protein LOC112013579	
FAGR_UCONN_03028	904	KAA8517060.1hypothetical protein F0562_017122	GO:0015074;GO:0003676
FAGR_UCONN_03029	179	POE70681.1f-box/kelch-repeat protein	
FAGR_UCONN_03030	275	XP_023881495.1AT-hook motif nuclear-localized protein 20-like	GO:0006355;GO:0003680;GO:0003700;GO:0005634
FAGR_UCONN_03031	756	XP_030931473.1ABC transporter G family member 6-like	GO:0055085;GO:0005524;GO:0016887;GO:0140359;GO:0016020
FAGR_UCONN_03032	246	KAA8517060.1hypothetical protein F0562_017122	GO:0015074;GO:1990961;GO:0003676;GO:0015297;GO:0042910;GO:0016020
FAGR_UCONN_03033	418	XP_030923218.1LOW QUALITY PROTEIN: nodulation-signaling pathway 2 protein-like	GO:0006355;GO:0003700;GO:0043565;GO:0005634
FAGR_UCONN_03034	384	XP_050242414.1F-box/kelch-repeat protein At3g23880-like	
FAGR_UCONN_03035	216	KAG5562386.1hypothetical protein RHGRI_005203	GO:0006259;GO:0097159
FAGR_UCONN_03036	360	XP_050290324.1uncharacterized protein LOC126728567	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_03037	134	GAV67591.1UBN2 domain-containing protein	GO:0003676;GO:0008270
FAGR_UCONN_03038	432	XP_050278279.1uncharacterized protein LOC126719809	
FAGR_UCONN_03039	639	KAF3961761.1hypothetical protein CMV_013653	GO:0009451;GO:0003723;GO:0008270
FAGR_UCONN_03040	282	KAF3964532.1hypothetical protein CMV_011192	GO:0016020
FAGR_UCONN_03041	195	XP_030956069.1basic leucine zipper 43-like	GO:0006355;GO:0003700
FAGR_UCONN_03042	529	KAI5313152.1hypothetical protein L3X38_042326	GO:0005488
FAGR_UCONN_03043	129	XP_023879534.1RNA polymerase II C-terminal domain phosphatase-like 4	GO:0004722
FAGR_UCONN_03044	540	XP_027190985.1protein NYNRIN-like	GO:0006310;GO:0015074;GO:0071897;GO:0003723;GO:0003887;GO:0004523;GO:0046872;GO:0005634
FAGR_UCONN_03045	873	XP_050274937.1probable LRR receptor-like serine/threonine-protein kinase At3g47570	GO:0016310;GO:0004674;GO:0005524;GO:0016020
FAGR_UCONN_03046	789	XP_030954907.1pentatricopeptide repeat-containing protein At4g30700	GO:0009451;GO:0003723;GO:0008270;GO:0043231
FAGR_UCONN_03047	548	"XP_050264598.1pentatricopeptide repeat-containing protein At2g22410, mitochondrial-like"	GO:0009451;GO:0003723
FAGR_UCONN_03048	141	XP_050290442.1stigma-specific STIG1-like protein 1	
FAGR_UCONN_03049	377	POF22616.1wall-associated receptor kinase 5	GO:0007166;GO:0016310;GO:0004674;GO:0005509;GO:0005524;GO:0030247;GO:0016020
FAGR_UCONN_03050	166	KAF3962159.1hypothetical protein CMV_013294	GO:0005634
FAGR_UCONN_03051	129	KAE8077559.1hypothetical protein FH972_016114	GO:0009723;GO:0009836;GO:0016747
FAGR_UCONN_03052	737	XP_038975729.1uncharacterized protein LOC120106748	GO:0015074;GO:0003676;GO:0008270;GO:0016779;GO:0016787
FAGR_UCONN_03053	306	"XP_042973097.1uncharacterized protein LOC122304899, partial"	
FAGR_UCONN_03054	280	XP_023913981.1uncharacterized protein LOC112025541	
FAGR_UCONN_03055	766	XP_040369650.1LOW QUALITY PROTEIN: uncharacterized protein LOC112184088	GO:0015074;GO:0003676;GO:0008270;GO:0016779;GO:0016787
FAGR_UCONN_03056	170	GAV65970.1zf-CCHC domain-containing protein/DUF4219 domain-containing protein/UBN2 domain-containing protein	GO:0003676;GO:0008270
FAGR_UCONN_03057	1827	XP_038975729.1uncharacterized protein LOC120106748	GO:0015074;GO:0003676;GO:0008270;GO:0016779;GO:0016787
FAGR_UCONN_03058	292	"XP_023875010.1uncharacterized protein LOC111987522, partial"	GO:0015074;GO:0003676;GO:0016020
FAGR_UCONN_03059	380	KAF3961445.1hypothetical protein CMV_013935	GO:0006355;GO:0006383;GO:0003677;GO:0003824;GO:0000127;GO:0005634
FAGR_UCONN_03060	152	XP_023920359.1uncharacterized protein LOC112031882	
FAGR_UCONN_03061	443	XP_050291514.1lysM domain receptor-like kinase 4	GO:0016310;GO:0004672;GO:0005524;GO:0016020
FAGR_UCONN_03062	247	XP_023873047.1uncharacterized protein LOC111985627	GO:0003676;GO:0008270
FAGR_UCONN_03063	142	YP_009526528.1hypothetical protein	GO:0006412;GO:0003723;GO:0003735;GO:0016740;GO:0009507;GO:0015934
FAGR_UCONN_03064	278	"XP_035539641.1uncharacterized protein LOC118344015, partial"	
FAGR_UCONN_03065	348	KAH9764618.1retrovirus-related pol polyprotein from transposon RE1	GO:0006278;GO:0006952;GO:0015074;GO:0051707;GO:0003676;GO:0003964;GO:0016740;GO:0016779;GO:0043531;GO:0016020
FAGR_UCONN_03066	419	"KAH7676279.1RNA-directed DNA polymerase protein, partial"	GO:0003676;GO:0008270
FAGR_UCONN_03067	1295	RVW23445.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_03068	611	"XP_042979853.1uncharacterized protein LOC122310033, partial"	
FAGR_UCONN_03069	338	XP_023929690.1putative UPF0481 protein At3g02645	GO:0016020
FAGR_UCONN_03070	387	XP_038974948.1uncharacterized protein LOC120106130	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_03071	564	"XP_041012965.1uncharacterized protein LOC121256286, partial"	GO:0005488
FAGR_UCONN_03072	200	KAG7955515.1hypothetical protein I3843_11G076000	GO:0016787
FAGR_UCONN_03073	120	XP_023910738.1zinc finger MYM-type protein 1-like	GO:0046983;GO:0016020
FAGR_UCONN_03074	421	"XP_042972981.1uncharacterized protein LOC122304782, partial"	GO:0015074;GO:0003676
FAGR_UCONN_03075	1069	XP_038975729.1uncharacterized protein LOC120106748	GO:0015074;GO:0003676;GO:0008270;GO:0016779;GO:0016787
FAGR_UCONN_03076	395	KAG5250806.1zf-CCHC domain-containing protein	GO:0003676;GO:0008270
FAGR_UCONN_03077	393	KAF3951601.1hypothetical protein CMV_022768	GO:0007165;GO:0016310;GO:0004674;GO:0005524
FAGR_UCONN_03078	216	XP_030970281.1uncharacterized protein LOC115990606	
FAGR_UCONN_03079	222	KAG5547649.1hypothetical protein RHGRI_013370	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_03080	337	XP_014511575.1protein FAR-RED IMPAIRED RESPONSE 1-like	GO:0006355;GO:0008270;GO:0046872;GO:0005634
FAGR_UCONN_03081	157	XP_023908129.1uncharacterized protein LOC112019817	GO:0005488
FAGR_UCONN_03082	423	XP_030947986.1pentatricopeptide repeat-containing protein At1g31790	GO:0009451;GO:0003723
FAGR_UCONN_03083	483	XP_050290552.1L-type lectin-domain containing receptor kinase IV.2-like	GO:0016310;GO:0098542;GO:0004674;GO:0005524;GO:0030246;GO:0016020
FAGR_UCONN_03084	103	XP_050262163.1pathogenesis-related protein 1-like	GO:0009607;GO:0005615
FAGR_UCONN_03085	201	KAF3451694.1hypothetical protein FNV43_RR07790	GO:0000041;GO:0030003;GO:0098655;GO:0098662;GO:0098771;GO:0046915
FAGR_UCONN_03086	198	XP_030936039.1uncharacterized protein LOC115961149	GO:0003824
FAGR_UCONN_03087	191	GAV66709.1DUF4219 domain-containing protein/UBN2 domain-containing protein	GO:0005488
FAGR_UCONN_03088	580	XP_030969191.1pollen-specific leucine-rich repeat extensin-like protein 1	GO:0016020
FAGR_UCONN_03089	495	BBG92680.1RmlC-like cupins superfamily protein	GO:0015074;GO:0016310;GO:0003676;GO:0016301
FAGR_UCONN_03090	189	KAB1226491.1Transcription factor PCF1	GO:0003677
FAGR_UCONN_03091	116	KAF3965567.1hypothetical protein CMV_010260	GO:0016567;GO:0016020
FAGR_UCONN_03092	249	XP_023887399.1uncharacterized protein LOC111999501	
FAGR_UCONN_03093	189	KAG2679813.1hypothetical protein I3760_11G068500	
FAGR_UCONN_03094	777	"XP_023889377.1uncharacterized protein LOC112001448, partial"	GO:0006508;GO:0004190;GO:0043227
FAGR_UCONN_03095	392	XP_030934580.1F-box protein At1g20360-like	
FAGR_UCONN_03096	120	KAF3964137.1hypothetical protein CMV_011544	GO:0009451;GO:0003723;GO:0008270;GO:0043231
FAGR_UCONN_03097	478	XP_050280322.1hydroquinone glucosyltransferase	GO:0009718;GO:0047213
FAGR_UCONN_03098	280	RVW63757.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0005488
FAGR_UCONN_03099	618	XP_023898216.1uncharacterized protein LOC112010105	GO:0007166
FAGR_UCONN_03100	343	"PRQ57104.1putative nucleotidyltransferase, Ribonuclease H"	GO:0015074;GO:0003676;GO:0008270;GO:0016779;GO:0016787
FAGR_UCONN_03101	230	GKV01835.1hypothetical protein SLEP1_g14353	GO:0006508;GO:0015074;GO:0003676;GO:0004190;GO:0008270
FAGR_UCONN_03102	290	XP_050258878.1mitogen-activated protein kinase kinase kinase 20-like	GO:0000166;GO:0004672
FAGR_UCONN_03103	369	KAH9685254.1hypothetical protein KPL70_013888	GO:0015074;GO:0003676;GO:0004523;GO:0008270;GO:0016779
FAGR_UCONN_03104	107	KYP31619.1Copia protein	GO:0015074;GO:0003676;GO:0004491;GO:0008270
FAGR_UCONN_03105	1340	CAH9126139.1unnamed protein product	GO:0006278;GO:0015074;GO:0003676;GO:0003964;GO:0008270
FAGR_UCONN_03106	680	XP_022769624.1LOW QUALITY PROTEIN: uncharacterized protein LOC111313212	GO:0006310;GO:0015074;GO:0071897;GO:0003676;GO:0003723;GO:0003887;GO:0004523;GO:0046872;GO:0005634;GO:0016020
FAGR_UCONN_03107	216	XP_023896864.1PRA1 family protein B3-like	GO:0016192;GO:0005783;GO:0005794;GO:0016020
FAGR_UCONN_03108	976	PSS05945.1Integrase	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_03109	594	RVW76592.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676;GO:0008270;GO:0016020
FAGR_UCONN_03110	457	XP_023914882.1uncharacterized acetyltransferase At3g50280-like	
FAGR_UCONN_03111	1173	CAH9134543.1unnamed protein product	GO:0015074;GO:0003676;GO:0008270;GO:0008757
FAGR_UCONN_03112	243	XP_014523111.1protein FAR-RED IMPAIRED RESPONSE 1-like	GO:0006355;GO:0008270;GO:0046872;GO:0005634;GO:0016020
FAGR_UCONN_03113	330	"XP_042983356.1uncharacterized protein LOC122312767, partial"	
FAGR_UCONN_03114	89	KAF3971496.1hypothetical protein CMV_004896	GO:0005509
FAGR_UCONN_03115	691	XP_020099018.1protein FAR-RED IMPAIRED RESPONSE 1-like	GO:0006355;GO:0008270;GO:0046872;GO:0005634
FAGR_UCONN_03116	156	KAF3976584.1hypothetical protein CMV_000262	GO:0006952
FAGR_UCONN_03117	225	KAI3416895.1uncharacterized protein J3R85_015007	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_03118	1085	TYK19656.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_03119	499	XP_040990949.1uncharacterized protein LOC121238174	
FAGR_UCONN_03120	288	XP_038974948.1uncharacterized protein LOC120106130	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_03121	422	XP_030958286.1LOW QUALITY PROTEIN: gamma conglutin 1-like	GO:0006465;GO:0004190;GO:0005787
FAGR_UCONN_03122	147	KAB5529529.1hypothetical protein DKX38_019610	GO:0006508;GO:0004190
FAGR_UCONN_03123	681	XP_030965331.1L-type lectin-domain containing receptor kinase IV.1-like	GO:0016310;GO:0004672;GO:0005524;GO:0030246;GO:0016020
FAGR_UCONN_03124	501	KAJ0462289.1putative RNA-directed DNA polymerase	GO:0006278;GO:0015074;GO:0003676;GO:0003964;GO:0008270
FAGR_UCONN_03125	1369	KAA8517060.1hypothetical protein F0562_017122	GO:0097159
FAGR_UCONN_03126	558	CAH9094739.1unnamed protein product	GO:0006278;GO:0015074;GO:0003676;GO:0003964;GO:0008270
FAGR_UCONN_03127	244	GFY93864.1hypothetical protein Acr_09g0003100	GO:0015074;GO:0003676;GO:0016020
FAGR_UCONN_03128	498	YP_009941471.1cytochrome c oxidase subunit 1	GO:0006119;GO:0015990;GO:0022900;GO:0004129;GO:0020037;GO:0046872;GO:0005743;GO:0045277
FAGR_UCONN_03129	447	XP_023913968.1uncharacterized acetyltransferase At3g50280-like	
FAGR_UCONN_03130	276	KAH9705381.1hypothetical protein KPL70_011852	
FAGR_UCONN_03131	1013	"XP_050261715.1putative calcium-transporting ATPase 13, plasma membrane-type isoform X3"	GO:0070588;GO:0005388;GO:0005524;GO:0016887;GO:0016020
FAGR_UCONN_03132	402	RVW19280.1Retrovirus-related Pol polyprotein from transposon RE1	GO:0005488
FAGR_UCONN_03133	203	XP_038988320.1uncharacterized protein LOC103698532 isoform X4	GO:0005488
FAGR_UCONN_03134	287	XP_023879735.1disease resistance protein RPM1-like	
FAGR_UCONN_03135	810	KAF3947375.1hypothetical protein CMV_026481	GO:0006325;GO:0032259;GO:0008168;GO:0016491;GO:0005634
FAGR_UCONN_03136	176	POE67969.1putative ribonuclease h protein	GO:0003676;GO:0004523
FAGR_UCONN_03137	634	XP_030923919.1lysM domain receptor-like kinase 4	GO:0016310;GO:0004672;GO:0005524;GO:0016020
FAGR_UCONN_03138	423	KAH9774096.1glycosyltransferase	GO:0016757;GO:0110165
FAGR_UCONN_03139	923	"XP_042979853.1uncharacterized protein LOC122310033, partial"	GO:0015074;GO:0003676
FAGR_UCONN_03140	246	XP_050277754.1uncharacterized protein LOC126719217	GO:0006278;GO:0003964
FAGR_UCONN_03141	1016	XP_050280139.1uncharacterized protein LOC126721157	
FAGR_UCONN_03142	487	XP_030946411.1uncharacterized protein LOC115970926	GO:0016310;GO:0004674;GO:0005524;GO:0016757;GO:0016020
FAGR_UCONN_03143	123	POE95096.1pectinesterase/pectinesterase inhibitor ppe8b	GO:0042545;GO:0045490;GO:0030599;GO:0045330;GO:0005576
FAGR_UCONN_03144	213	XP_038988320.1uncharacterized protein LOC103698532 isoform X4	GO:0005488
FAGR_UCONN_03145	330	"XP_030934474.1putative septum site-determining protein minD homolog, chloroplastic"	GO:0051782;GO:0005524;GO:0016887;GO:0005829;GO:0009898
FAGR_UCONN_03146	137	XP_030945654.1E3 ubiquitin-protein ligase ATL76-like	GO:0016567;GO:0016020
FAGR_UCONN_03147	295	XP_023877959.1aspartic proteinase CDR1-like	GO:0016787
FAGR_UCONN_03148	425	XP_010659822.2PREDICTED: F-box/kelch-repeat protein At1g57790-like	
FAGR_UCONN_03149	920	XP_052300990.1uncharacterized protein LOC127903816	
FAGR_UCONN_03150	77	XP_030942754.1dirigent protein 23-like	GO:0009699;GO:0048046
FAGR_UCONN_03151	439	XP_023886610.1basic 7S globulin-like	GO:0006508;GO:0004190
FAGR_UCONN_03152	207	KAF3976584.1hypothetical protein CMV_000262	GO:0006952
FAGR_UCONN_03153	1014	KAH9649399.1Endonuclease	
FAGR_UCONN_03154	456	KAF3952676.1hypothetical protein CMV_021790	GO:0009755;GO:0016310;GO:0016301;GO:0038023;GO:0005886
FAGR_UCONN_03155	130	XP_030943787.1TMV resistance protein N-like	GO:0006952;GO:0007165;GO:0043531
FAGR_UCONN_03156	561	"XP_023888900.1pentatricopeptide repeat-containing protein At5g04780, mitochondrial-like isoform X1"	GO:0009451;GO:0003723;GO:0008270
FAGR_UCONN_03157	242	"XP_042983356.1uncharacterized protein LOC122312767, partial"	
FAGR_UCONN_03158	74	TKY53023.1Cactin protein	GO:0009793;GO:0045292;GO:0005681;GO:0005737
FAGR_UCONN_03159	159	XP_023906101.1uncharacterized protein LOC112017873	
FAGR_UCONN_03160	387	RVW71911.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0005488
FAGR_UCONN_03161	802	RVW64314.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676;GO:0008270;GO:0016020
FAGR_UCONN_03162	315	"XP_023875010.1uncharacterized protein LOC111987522, partial"	GO:0015074;GO:0003676;GO:0016020
FAGR_UCONN_03163	284	KAG6705705.1hypothetical protein I3842_07G193600	GO:0030418;GO:0008757;GO:0030410
FAGR_UCONN_03164	414	RVW71911.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_03165	168	XP_023913981.1uncharacterized protein LOC112025541	
FAGR_UCONN_03166	91	"XP_023875941.1pentatricopeptide repeat-containing protein At3g26782, mitochondrial-like"	GO:0006629;GO:0009451;GO:0140042;GO:0003723;GO:0008270;GO:0005789
FAGR_UCONN_03167	508	"XP_042944495.1uncharacterized protein LOC122278367, partial"	
FAGR_UCONN_03168	335	KAG5547649.1hypothetical protein RHGRI_013370	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_03169	104	KAG6685421.1hypothetical protein I3842_12G111300	GO:0003676;GO:0004523
FAGR_UCONN_03170	435	KAA8517060.1hypothetical protein F0562_017122	GO:0015074;GO:0003676;GO:0016779
FAGR_UCONN_03171	1295	RVW23445.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_03172	186	XP_050269111.1dirigent protein-like	GO:0009699;GO:0048046
FAGR_UCONN_03173	239	XP_030939599.1RING finger protein 32-like	
FAGR_UCONN_03174	295	"XP_042973097.1uncharacterized protein LOC122304899, partial"	
FAGR_UCONN_03175	248	XP_023879731.1uncharacterized protein LOC111992135	GO:0006278;GO:0006508;GO:0015074;GO:0055085;GO:0003676;GO:0003964;GO:0004190;GO:0022857;GO:0016020
FAGR_UCONN_03176	533	KAG6719969.1hypothetical protein I3842_03G034600	GO:0003824
FAGR_UCONN_03177	237	KAF3968301.1hypothetical protein CMV_007796	GO:0009451;GO:0003723;GO:0043231
FAGR_UCONN_03178	107	XP_024166952.1uncharacterized protein LOC112173547	
FAGR_UCONN_03179	540	XP_038975729.1uncharacterized protein LOC120106748	GO:0015074;GO:0003676;GO:0008270;GO:0016779;GO:0016787
FAGR_UCONN_03180	145	KAF3966623.1hypothetical protein CMV_009292	GO:0015940;GO:0032259;GO:0000287;GO:0003864;GO:0008168;GO:0005739
